State,Actual_2024_Visitors_000,Shrunk_Forecast_2025_Visitors_000,Actual_2025_Visitors_000,Shrunk_Error_Percent
Johor,17138.338,19471,18196.973,7.0
Pulau Pinang,16604.803,18891,17717.979,6.6
Selangor,34460.828,38464,36376.442,5.7
Sabah,20591.813,23486,22361.168,5.0
Perlis,3225.428,3932,3755.682,4.7
Terengganu,14460.728,16047,15462.278,3.8
Melaka,19128.405,21532,20832.202,3.4
Kedah,14651.488,16089,15607.884,3.1
Perak,21776.217,24095,23642.055,1.9
Negeri Sembilan,17784.532,19675,19356.545,1.6
W.P. Putrajaya,2556.836,3166,3146.484,0.6
Kelantan,10514.411,11994,12062.016,-0.6
Pahang,20173.876,22843,23161.166,-1.4
W.P. Labuan,449.630,585,604.370,-3.2
Sarawak,19625.552,21576,22721.527,-5.0
W.P. Kuala Lumpur,26982.957,30227,35059.933,-13.8
